name,start,end,explanation
Saadia Gaon,882,942, Jewish philosopher and exegete and theologian known for his philosophical works and contributions to Jewish thought.
Hrabanus Maurus ,780,856, Frankish theologian and poet and scholar known for his literary and theological writings and including encyclopedic works.
Abdullah ibn al-Mu'tazz ,861,908, Abbasid prince and poet and and patron of literature known for his poetry and literary patronage during the Islamic Golden Age.
Li He ,791,817, Chinese poet known for his innovative and surrealistic poetry during the late Tang Dynasty.
Abu Tammam ,788,845,Arab poet known for his influential collection of poems called the "Hamasah."
Al-Jahiz,776,868,Prominent Arab scholar and writer and literary critic known for his essays and treatises and works of literature.
Ahmad ibn Tulun,835,884, Ruler of Egypt and patron of literature and known for his support of poets and scholars during his reign.
Umar ibn Abi Rabi'a ,644,712,Pre-Islamic Arab poet known for his romantic and elegiac poetry.
Asma bint Marwan ,580, 624,Pre-Islamic Arab poetess known for her satirical poetry and criticism of the Quraysh tribe.
Abu Nuwas,756,814,Arab poet known for his witty and often risqué verses and celebrated as one of the greatest poets in Arabic literature.
Wang Wei,701,761, Chinese poet and painter and musician of the Tang Dynasty known for his landscape poetry and ink wash paintings.
Adi Shankaracharya ,788,820, Indian philosopher and theologian and poet who composed devotional hymns and philosophical works.
Al-Khalil ibn Ahmad al-Farahidi ,718,791, Arab lexicographer and grammarian known for his influential work in Arabic lexicography and grammar.
Ariwara no Narihira ,825,880, Japanese poet and nobleman of the Heian period known for his romantic poetry and adventures.
Abu al-Aswad al-Du'ali ,603, 688,Early Arab grammarian and scholar known for his contributions to Arabic grammar.
Hrotsvitha of Gandersheim ,935,973,German poet and playwright known for her Latin dramas and which are considered the first known plays of the post-classical era.
Ono no Komachi ,825,900,Japanese poet of the Heian period known for her passionate and emotional tanka poetry.
Bai Juyi,772,846,Chinese poet of the Tang Dynasty known for his compassionate and socially conscious poetry and as well as his advocacy for political reform.
Theodulf of Orleans ,750,821, Frankish poet and bishop and scholar known for his Latin poetry and hymns and including the hymn "Gloria laus et honor."
Murasaki Shikibu ,973,1014,.
Sei Shōnagon,966,1017,.
Al-Mutanabbi,915,965,
Abu al-Faraj al-Isfahani ,897,967,.
Rumi,1207,1273,.
Li Qingzhao,1084,1155,.
Firdawsi,940,1020,.
Al-Masudi,896,956,.
Al-Biruni,973,1048,.
Al-Tha'alibi,961,1038,.
Ibn Hazm,994,1064,.
Ibn Sina(Avicenna),980,1037,.
Al-Muqaddasi,945,1000,.
Al-Bakri,1014,1094,.
Ibn Hawqal,943,after,.
Al-Suli,880,946,.
Ibn al-Farid,1181,1235,.
Ibn al-Khatib,1313,1374,.
Al-Mawardi,972,1058,.
Al-Ma'arri,973,1057,.
Al-Bayhaqi,994,1066,.

Islamic Golden Age of Literature,700,1300,.
Carolingian Renaissance,800,900,.
Tang Dynasty Poetry,618,907,.
Development of Japanese Poetry Forms,700,800,.
Expansion of Persian Literature,800,1000,.
Early Middle English Literature,800,1100,.
Islamic Golden Age of Literature,700,1300,.
Carolingian Renaissance,800,900,.
Tang Dynasty Poetry,618,907,.
Heian Period Japanese Literature,794,1185,.
Flourishing of Persian Literature,900,1100,.
Early Middle English Literature,800,1100,.
Islamic Golden Age of Literature,700,1300,.
Byzantine Renaissance,900, 1200,.
Heian Period Japanese Literature,794,1185,.
Flourishing of Persian Literature,900,1100,.
Early Middle English Literature,800,1100,.
Ottonian Renaissance,900,1000,.
Golden Age of Arabic Poetry,900,1000,.

